vegetable,week_start,wholesale_price,retail_price
BRINJALS,2007-08-27,22.5,65.7
CABBAGE,2007-08-27,16.38,53.92
CARROT,2007-08-27,44.38,85.6
LEEKS,2007-08-27,35.0,70.0
PUMPKIN,2007-08-27,14.25,38.46
SNAKE GOURD,2007-08-27,12.0,45.0
BRINJALS,2007-09-03,24.44,59.6
CABBAGE,2007-09-03,15.56,55.72
CARROT,2007-09-03,40.38,74.91
LEEKS,2007-09-03,26.25,67.84
PUMPKIN,2007-09-03,13.71,39.44
SNAKE GOURD,2007-09-03,14.88,45.1
BRINJALS,2007-09-10,22.22,54.94
CABBAGE,2007-09-10,16.83,51.76
CARROT,2007-09-10,44.43,75.18
LEEKS,2007-09-10,30.63,68.63
PUMPKIN,2007-09-10,15.86,40.5
SNAKE GOURD,2007-09-10,17.25,51.17
BRINJALS,2007-09-17,28.0,65.0
CABBAGE,2007-09-17,17.7,54.42
CARROT,2007-09-17,45.5,75.0
LEEKS,2007-09-17,30.63,69.38
PUMPKIN,2007-09-17,18.2,47.34
SNAKE GOURD,2007-09-17,22.78,55.0
BRINJALS,2007-09-24,35.0,67.66
CABBAGE,2007-09-24,15.11,55.31
CARROT,2007-09-24,35.0,73.29
LEEKS,2007-09-24,28.89,64.41
PUMPKIN,2007-09-24,18.67,47.86
SNAKE GOURD,2007-09-24,19.25,52.06
BRINJALS,2007-10-01,38.13,75.97
CABBAGE,2007-10-01,15.8,56.4
CARROT,2007-10-01,39.38,80.0
LEEKS,2007-10-01,31.67,65.78
PUMPKIN,2007-10-01,19.0,48.65
SNAKE GOURD,2007-10-01,22.88,56.83
BRINJALS,2007-10-08,40.56,79.85
CABBAGE,2007-10-08,16.5,53.97
CARROT,2007-10-08,42.5,70.76
LEEKS,2007-10-08,34.44,65.31
PUMPKIN,2007-10-08,20.75,48.45
SNAKE GOURD,2007-10-08,26.88,60.32
BRINJALS,2007-10-15,32.5,78.57
CABBAGE,2007-10-15,18.38,57.88
CARROT,2007-10-15,37.22,78.47
LEEKS,2007-10-15,27.22,71.53
PUMPKIN,2007-10-15,19.75,50.59
SNAKE GOURD,2007-10-15,20.56,60.97
BRINJALS,2007-10-22,26.25,69.24
CABBAGE,2007-10-22,20.75,60.88
CARROT,2007-10-22,43.13,76.86
LEEKS,2007-10-22,30.63,70.63
PUMPKIN,2007-10-22,16.63,51.03
SNAKE GOURD,2007-10-22,27.5,66.21
BRINJALS,2007-10-29,26.25,69.24
CABBAGE,2007-10-29,20.75,60.88
CARROT,2007-10-29,43.13,76.86
LEEKS,2007-10-29,30.63,70.63
PUMPKIN,2007-10-29,16.63,51.03
SNAKE GOURD,2007-10-29,27.5,66.21
BRINJALS,2007-11-05,36.11,70.54
CABBAGE,2007-11-05,26.88,61.17
CARROT,2007-11-05,51.11,84.83
LEEKS,2007-11-05,26.25,70.67
PUMPKIN,2007-11-05,18.44,49.52
SNAKE GOURD,2007-11-05,21.67,60.17
BRINJALS,2007-11-12,39.38,79.62
CABBAGE,2007-11-12,36.25,77.41
CARROT,2007-11-12,66.25,107.6
LEEKS,2007-11-12,33.13,75.71
PUMPKIN,2007-11-12,19.38,46.54
SNAKE GOURD,2007-11-12,25.63,59.8
BRINJALS,2007-11-19,38.33,86.03
CABBAGE,2007-11-19,42.0,79.76
CARROT,2007-11-19,76.11,116.76
LEEKS,2007-11-19,34.44,75.63
PUMPKIN,2007-11-19,21.0,48.64
SNAKE GOURD,2007-11-19,27.22,59.06
BRINJALS,2007-11-26,32.5,76.24
CABBAGE,2007-11-26,32.78,73.97
CARROT,2007-11-26,72.22,107.5
LEEKS,2007-11-26,31.25,73.38
PUMPKIN,2007-11-26,19.25,45.61
SNAKE GOURD,2007-11-26,27.78,58.97
BRINJALS,2007-12-03,26.43,63.06
CABBAGE,2007-12-03,27.22,73.87
CARROT,2007-12-03,60.56,102.58
LEEKS,2007-12-03,30.56,74.17
PUMPKIN,2007-12-03,14.56,40.0
SNAKE GOURD,2007-12-03,18.89,54.29
BRINJALS,2007-12-10,18.5,57.73
CABBAGE,2007-12-10,21.5,61.41
CARROT,2007-12-10,58.13,96.88
LEEKS,2007-12-10,30.0,70.32
PUMPKIN,2007-12-10,13.29,44.53
SNAKE GOURD,2007-12-10,15.88,52.03
BRINJALS,2007-12-17,24.38,59.39
CABBAGE,2007-12-17,17.75,55.88
CARROT,2007-12-17,50.0,81.82
LEEKS,2007-12-17,30.0,64.55
PUMPKIN,2007-12-17,10.63,42.12
SNAKE GOURD,2007-12-17,23.5,53.35
BRINJALS,2007-12-24,56.25,97.43
CABBAGE,2007-12-24,19.75,64.24
CARROT,2007-12-24,61.88,100.88
LEEKS,2007-12-24,35.63,76.03
PUMPKIN,2007-12-24,14.63,47.1
SNAKE GOURD,2007-12-24,27.14,67.83
BRINJALS,2007-12-31,58.89,110.29
CABBAGE,2007-12-31,18.13,62.9
CARROT,2007-12-31,50.56,98.29
LEEKS,2007-12-31,35.0,84.17
PUMPKIN,2007-12-31,14.22,44.71
SNAKE GOURD,2007-12-31,28.33,63.19
BRINJALS,2008-01-07,72.5,113.71
CABBAGE,2008-01-07,18.13,59.46
CARROT,2008-01-07,60.63,105.25
LEEKS,2008-01-07,38.75,77.71
PUMPKIN,2008-01-07,11.25,42.29
SNAKE GOURD,2008-01-07,34.38,66.86
BRINJALS,2008-01-14,70.0,114.71
CABBAGE,2008-01-14,19.67,54.09
CARROT,2008-01-14,50.63,87.5
LEEKS,2008-01-14,38.13,79.56
PUMPKIN,2008-01-14,12.0,40.76
SNAKE GOURD,2008-01-14,37.5,65.0
BRINJALS,2008-01-21,45.63,85.14
CABBAGE,2008-01-21,16.78,58.29
CARROT,2008-01-21,42.78,81.32
LEEKS,2008-01-21,33.33,74.0
PUMPKIN,2008-01-21,12.0,38.64
SNAKE GOURD,2008-01-21,33.89,69.12
BRINJALS,2008-01-28,27.5,65.97
CABBAGE,2008-01-28,13.0,54.03
CARROT,2008-01-28,41.25,93.1
LEEKS,2008-01-28,36.25,70.33
PUMPKIN,2008-01-28,9.5,38.88
SNAKE GOURD,2008-01-28,32.5,66.43
BRINJALS,2008-02-04,11.89,50.24
CABBAGE,2008-02-04,13.89,48.42
CARROT,2008-02-04,38.89,81.11
LEEKS,2008-02-04,27.78,65.86
PUMPKIN,2008-02-04,9.78,41.21
SNAKE GOURD,2008-02-04,19.11,57.35
BRINJALS,2008-02-11,13.56,46.71
CABBAGE,2008-02-11,13.63,56.89
CARROT,2008-02-11,37.22,80.56
LEEKS,2008-02-11,32.0,68.61
PUMPKIN,2008-02-11,10.25,38.53
SNAKE GOURD,2008-02-11,22.22,57.65
BRINJALS,2008-02-18,20.67,54.81
CABBAGE,2008-02-18,14.56,51.9
CARROT,2008-02-18,38.33,89.1
LEEKS,2008-02-18,30.63,76.61
PUMPKIN,2008-02-18,10.22,35.25
SNAKE GOURD,2008-02-18,23.38,65.77
BRINJALS,2008-02-25,30.0,65.0
CABBAGE,2008-02-25,18.0,53.57
CARROT,2008-02-25,38.0,80.29
LEEKS,2008-02-25,32.0,68.14
PUMPKIN,2008-02-25,10.67,40.29
SNAKE GOURD,2008-02-25,32.5,64.85
BRINJALS,2008-03-03,36.67,73.14
CABBAGE,2008-03-03,14.75,55.0
CARROT,2008-03-03,37.78,79.31
LEEKS,2008-03-03,28.89,68.14
PUMPKIN,2008-03-03,10.75,38.42
SNAKE GOURD,2008-03-03,24.13,57.57
BRINJALS,2008-03-10,38.13,74.24
CABBAGE,2008-03-10,12.13,52.5
CARROT,2008-03-10,35.0,80.44
LEEKS,2008-03-10,28.75,69.29
PUMPKIN,2008-03-10,10.75,38.79
SNAKE GOURD,2008-03-10,27.5,57.34
BRINJALS,2008-03-17,45.63,82.29
CABBAGE,2008-03-17,15.25,53.47
CARROT,2008-03-17,34.38,80.0
LEEKS,2008-03-17,33.13,69.03
PUMPKIN,2008-03-17,11.25,40.81
SNAKE GOURD,2008-03-17,36.88,63.97
BRINJALS,2008-03-24,55.0,87.34
CABBAGE,2008-03-24,21.0,58.28
CARROT,2008-03-24,46.25,82.34
LEEKS,2008-03-24,30.0,73.64
PUMPKIN,2008-03-24,17.28,45.1
SNAKE GOURD,2008-03-24,37.86,77.69
BRINJALS,2008-03-31,55.0,104.72
CABBAGE,2008-03-31,22.44,60.69
CARROT,2008-03-31,52.22,89.72
LEEKS,2008-03-31,30.0,70.69
PUMPKIN,2008-03-31,19.75,47.44
SNAKE GOURD,2008-03-31,44.44,78.57
BRINJALS,2008-04-07,68.33,126.11
CABBAGE,2008-04-07,42.5,98.89
CARROT,2008-04-07,76.25,154.21
LEEKS,2008-04-07,33.75,78.33
PUMPKIN,2008-04-07,18.86,59.33
SNAKE GOURD,2008-04-07,43.33,80.0
BRINJALS,2008-04-14,39.44,91.56
CABBAGE,2008-04-14,60.0,114.84
CARROT,2008-04-14,71.5,139.39
LEEKS,2008-04-14,35.0,92.97
PUMPKIN,2008-04-14,20.75,56.5
SNAKE GOURD,2008-04-14,37.78,84.5
BRINJALS,2008-04-21,41.25,89.17
CABBAGE,2008-04-21,62.5,127.22
CARROT,2008-04-21,120.0,174.55
LEEKS,2008-04-21,47.86,93.89
PUMPKIN,2008-04-21,19.0,53.38
SNAKE GOURD,2008-04-21,47.29,85.59
BRINJALS,2008-04-28,50.0,109.09
CABBAGE,2008-04-28,64.38,129.71
CARROT,2008-04-28,106.67,173.06
LEEKS,2008-04-28,42.86,100.56
PUMPKIN,2008-04-28,23.28,56.06
SNAKE GOURD,2008-04-28,55.0,85.81
BRINJALS,2008-05-05,55.0,103.46
CABBAGE,2008-05-05,63.5,124.03
CARROT,2008-05-05,121.11,200.83
LEEKS,2008-05-05,53.75,101.22
PUMPKIN,2008-05-05,28.38,62.19
SNAKE GOURD,2008-05-05,49.38,90.42
BRINJALS,2008-05-12,60.0,103.43
CABBAGE,2008-05-12,66.88,133.33
CARROT,2008-05-12,132.33,189.43
LEEKS,2008-05-12,50.0,98.33
PUMPKIN,2008-05-12,32.5,69.56
SNAKE GOURD,2008-05-12,46.88,88.09
BRINJALS,2008-05-19,48.12,96.86
CABBAGE,2008-05-19,68.73,141.71
CARROT,2008-05-19,99.09,161.39
LEEKS,2008-05-19,51.88,96.25
PUMPKIN,2008-05-19,35.0,73.71
SNAKE GOURD,2008-05-19,37.78,84.58
BRINJALS,2008-05-26,38.89,90.0
CABBAGE,2008-05-26,57.5,118.33
CARROT,2008-05-26,82.5,130.83
LEEKS,2008-05-26,44.44,91.81
PUMPKIN,2008-05-26,37.22,73.19
SNAKE GOURD,2008-05-26,37.5,80.29
BRINJALS,2008-06-02,43.13,94.57
CABBAGE,2008-06-02,55.63,121.43
CARROT,2008-06-02,93.75,144.14
LEEKS,2008-06-02,48.13,103.0
PUMPKIN,2008-06-02,51.11,89.12
SNAKE GOURD,2008-06-02,41.25,83.28
BRINJALS,2008-06-09,33.75,94.86
CABBAGE,2008-06-09,65.63,121.94
CARROT,2008-06-09,77.5,136.67
LEEKS,2008-06-09,44.38,97.36
PUMPKIN,2008-06-09,53.75,86.57
SNAKE GOURD,2008-06-09,43.13,80.29
BRINJALS,2008-06-16,36.88,86.81
CABBAGE,2008-06-16,58.75,124.31
CARROT,2008-06-16,77.5,123.47
LEEKS,2008-06-16,46.25,92.43
PUMPKIN,2008-06-16,55.63,96.14
SNAKE GOURD,2008-06-16,28.57,79.0
BRINJALS,2008-06-23,31.88,74.72
CABBAGE,2008-06-23,51.5,106.57
CARROT,2008-06-23,54.38,104.86
LEEKS,2008-06-23,46.25,81.81
PUMPKIN,2008-06-23,48.75,83.0
SNAKE GOURD,2008-06-23,27.5,71.39
BRINJALS,2008-06-30,23.13,70.0
CABBAGE,2008-06-30,42.88,109.09
CARROT,2008-06-30,45.0,98.28
LEEKS,2008-06-30,43.13,83.7
PUMPKIN,2008-06-30,36.88,73.13
SNAKE GOURD,2008-06-30,21.88,64.86
BRINJALS,2008-07-07,21.88,68.06
CABBAGE,2008-07-07,51.25,106.39
CARROT,2008-07-07,47.5,88.14
LEEKS,2008-07-07,39.38,80.56
PUMPKIN,2008-07-07,30.38,62.22
SNAKE GOURD,2008-07-07,20.38,62.22
BRINJALS,2008-07-14,25.0,66.03
CABBAGE,2008-07-14,33.13,84.7
CARROT,2008-07-14,35.0,83.82
LEEKS,2008-07-14,36.67,77.5
PUMPKIN,2008-07-14,28.75,59.26
SNAKE GOURD,2008-07-14,20.75,56.71
BRINJALS,2008-07-21,30.0,62.29
CABBAGE,2008-07-21,28.89,77.14
CARROT,2008-07-21,35.0,76.14
LEEKS,2008-07-21,35.0,74.0
PUMPKIN,2008-07-21,24.89,53.0
SNAKE GOURD,2008-07-21,18.33,51.94
BRINJALS,2008-07-28,27.5,68.57
CABBAGE,2008-07-28,32.22,78.86
CARROT,2008-07-28,36.11,78.86
LEEKS,2008-07-28,37.22,82.86
PUMPKIN,2008-07-28,20.44,56.03
SNAKE GOURD,2008-07-28,16.63,54.37
BRINJALS,2008-08-04,27.5,62.86
CABBAGE,2008-08-04,28.75,73.86
CARROT,2008-08-04,32.5,68.71
LEEKS,2008-08-04,35.63,72.43
PUMPKIN,2008-08-04,17.5,50.09
SNAKE GOURD,2008-08-04,19.29,52.17
BRINJALS,2008-08-11,30.5,67.08
CABBAGE,2008-08-11,29.5,73.33
CARROT,2008-08-11,31.0,72.36
LEEKS,2008-08-11,36.5,77.08
PUMPKIN,2008-08-11,21.0,52.58
SNAKE GOURD,2008-08-11,19.1,53.64
BRINJALS,2008-08-18,33.5,72.71
CABBAGE,2008-08-18,27.78,73.0
CARROT,2008-08-18,27.3,68.57
LEEKS,2008-08-18,30.8,73.57
PUMPKIN,2008-08-18,20.6,51.71
SNAKE GOURD,2008-08-18,17.6,56.86
BRINJALS,2008-08-25,29.22,71.11
CABBAGE,2008-08-25,19.73,67.78
CARROT,2008-08-25,25.7,66.44
LEEKS,2008-08-25,35.5,73.86
PUMPKIN,2008-08-25,19.78,54.46
SNAKE GOURD,2008-08-25,12.44,51.43
BRINJALS,2008-09-01,35.5,75.8
CABBAGE,2008-09-01,19.78,68.25
CARROT,2008-09-01,23.0,62.5
LEEKS,2008-09-01,37.0,74.26
PUMPKIN,2008-09-01,19.5,50.51
SNAKE GOURD,2008-09-01,16.9,47.29
BRINJALS,2008-09-08,36.5,73.29
CABBAGE,2008-09-08,17.2,63.75
CARROT,2008-09-08,25.0,62.57
LEEKS,2008-09-08,42.5,80.49
PUMPKIN,2008-09-08,19.7,52.03
SNAKE GOURD,2008-09-08,20.56,53.6
BRINJALS,2008-09-15,40.0,83.77
CABBAGE,2008-09-15,19.22,65.14
CARROT,2008-09-15,32.78,71.06
LEEKS,2008-09-15,43.33,79.63
PUMPKIN,2008-09-15,19.0,53.29
SNAKE GOURD,2008-09-15,22.67,57.17
BRINJALS,2008-09-22,46.5,86.11
CABBAGE,2008-09-22,20.67,65.42
CARROT,2008-09-22,30.0,66.39
LEEKS,2008-09-22,43.25,78.47
PUMPKIN,2008-09-22,17.25,47.5
SNAKE GOURD,2008-09-22,25.1,58.0
BRINJALS,2008-09-29,33.5,77.46
CABBAGE,2008-09-29,23.85,66.14
CARROT,2008-09-29,32.0,71.71
LEEKS,2008-09-29,43.5,79.18
PUMPKIN,2008-09-29,16.74,47.17
SNAKE GOURD,2008-09-29,26.65,60.71
BRINJALS,2008-10-06,31.07,73.31
CABBAGE,2008-10-06,21.57,64.0
CARROT,2008-10-06,31.78,71.54
LEEKS,2008-10-06,42.86,79.43
PUMPKIN,2008-10-06,16.85,47.71
SNAKE GOURD,2008-10-06,26.79,60.57
BRINJALS,2008-10-13,22.9,65.0
CABBAGE,2008-10-13,15.8,53.86
CARROT,2008-10-13,28.5,66.81
LEEKS,2008-10-13,40.5,78.09
PUMPKIN,2008-10-13,17.7,44.67
SNAKE GOURD,2008-10-13,27.3,59.8
BRINJALS,2008-10-20,27.21,76.0
CABBAGE,2008-10-20,16.93,62.0
CARROT,2008-10-20,41.79,82.0
LEEKS,2008-10-20,45.36,96.33
PUMPKIN,2008-10-20,18.15,52.0
SNAKE GOURD,2008-10-20,27.57,69.31
BRINJALS,2008-10-27,39.65,83.86
CABBAGE,2008-10-27,20.43,60.28
CARROT,2008-10-27,47.67,86.71
LEEKS,2008-10-27,48.0,96.48
PUMPKIN,2008-10-27,22.73,50.71
SNAKE GOURD,2008-10-27,38.93,74.2
BRINJALS,2008-11-03,33.07,80.34
CABBAGE,2008-11-03,20.5,62.71
CARROT,2008-11-03,54.64,92.86
LEEKS,2008-11-03,50.72,90.0
PUMPKIN,2008-11-03,22.36,51.14
SNAKE GOURD,2008-11-03,41.16,76.59
BRINJALS,2008-11-10,36.5,77.14
CABBAGE,2008-11-10,20.65,61.0
CARROT,2008-11-10,51.0,88.0
LEEKS,2008-11-10,48.5,90.29
PUMPKIN,2008-11-10,23.59,52.29
SNAKE GOURD,2008-11-10,42.78,74.06
BRINJALS,2008-11-17,23.11,70.74
CABBAGE,2008-11-17,17.73,62.0
CARROT,2008-11-17,51.05,89.06
LEEKS,2008-11-17,44.48,85.29
PUMPKIN,2008-11-17,20.56,56.61
SNAKE GOURD,2008-11-17,30.29,71.47
BRINJALS,2008-11-24,23.93,72.29
CABBAGE,2008-11-24,17.93,59.71
CARROT,2008-11-24,50.31,90.38
LEEKS,2008-11-24,47.33,85.16
PUMPKIN,2008-11-24,16.64,51.0
SNAKE GOURD,2008-11-24,27.31,66.97
BRINJALS,2008-12-01,33.5,76.44
CABBAGE,2008-12-01,18.11,63.06
CARROT,2008-12-01,49.0,89.44
LEEKS,2008-12-01,48.89,88.06
PUMPKIN,2008-12-01,15.0,45.53
SNAKE GOURD,2008-12-01,29.44,65.28
BRINJALS,2008-12-08,55.0,98.69
CABBAGE,2008-12-08,22.22,68.33
CARROT,2008-12-08,55.0,95.22
LEEKS,2008-12-08,49.0,93.19
PUMPKIN,2008-12-08,24.56,51.39
SNAKE GOURD,2008-12-08,45.0,80.68
BRINJALS,2008-12-15,66.33,114.29
CABBAGE,2008-12-15,22.27,68.44
CARROT,2008-12-15,63.33,104.17
LEEKS,2008-12-15,49.67,96.06
PUMPKIN,2008-12-15,25.77,53.33
SNAKE GOURD,2008-12-15,43.93,82.43
BRINJALS,2008-12-22,66.25,134.29
CABBAGE,2008-12-22,30.0,68.0
CARROT,2008-12-22,80.63,118.82
LEEKS,2008-12-22,59.28,100.8
PUMPKIN,2008-12-22,30.0,58.57
SNAKE GOURD,2008-12-22,47.5,82.81
BRINJALS,2008-12-29,54.38,102.0
CABBAGE,2008-12-29,34.44,72.55
CARROT,2008-12-29,82.78,122.05
LEEKS,2008-12-29,61.67,100.72
PUMPKIN,2008-12-29,24.44,53.33
SNAKE GOURD,2008-12-29,41.88,75.6
BRINJALS,2009-01-05,31.25,84.29
CABBAGE,2009-01-05,28.42,71.67
CARROT,2009-01-05,67.63,119.14
LEEKS,2009-01-05,66.5,101.14
PUMPKIN,2009-01-05,21.48,55.14
SNAKE GOURD,2009-01-05,41.05,78.59
BRINJALS,2009-01-12,23.25,67.43
CABBAGE,2009-01-12,20.48,65.0
CARROT,2009-01-12,62.0,108.86
LEEKS,2009-01-12,63.75,98.51
PUMPKIN,2009-01-12,21.22,54.43
SNAKE GOURD,2009-01-12,37.37,75.49
BRINJALS,2009-01-19,11.93,53.71
CABBAGE,2009-01-19,21.27,63.14
CARROT,2009-01-19,58.0,96.18
LEEKS,2009-01-19,60.67,98.0
PUMPKIN,2009-01-19,25.79,54.0
SNAKE GOURD,2009-01-19,31.92,71.71
BRINJALS,2009-01-26,10.0,48.0
CABBAGE,2009-01-26,22.4,65.14
CARROT,2009-01-26,56.11,97.88
LEEKS,2009-01-26,56.0,95.5
PUMPKIN,2009-01-26,25.86,55.0
SNAKE GOURD,2009-01-26,28.12,71.76
BRINJALS,2009-02-02,12.0,50.0
CABBAGE,2009-02-02,23.07,63.43
CARROT,2009-02-02,58.21,93.28
LEEKS,2009-02-02,56.43,88.57
PUMPKIN,2009-02-02,33.67,69.11
SNAKE GOURD,2009-02-02,32.08,70.39
BRINJALS,2009-02-09,18.93,54.23
CABBAGE,2009-02-09,23.21,68.29
CARROT,2009-02-09,54.29,99.86
LEEKS,2009-02-09,57.14,101.0
PUMPKIN,2009-02-09,47.69,76.57
SNAKE GOURD,2009-02-09,38.08,73.14
BRINJALS,2009-02-16,13.58,56.76
CABBAGE,2009-02-16,25.17,66.86
CARROT,2009-02-16,46.05,89.14
LEEKS,2009-02-16,51.05,87.43
PUMPKIN,2009-02-16,44.38,77.78
SNAKE GOURD,2009-02-16,31.88,74.29
BRINJALS,2009-02-23,9.6,52.57
CABBAGE,2009-02-23,21.67,64.86
CARROT,2009-02-23,47.0,83.29
LEEKS,2009-02-23,55.0,89.29
PUMPKIN,2009-02-23,44.09,78.53
SNAKE GOURD,2009-02-23,22.7,68.06
BRINJALS,2009-03-02,10.5,53.59
CABBAGE,2009-03-02,21.3,63.13
CARROT,2009-03-02,43.5,84.19
LEEKS,2009-03-02,53.5,90.0
PUMPKIN,2009-03-02,39.29,76.61
SNAKE GOURD,2009-03-02,23.89,68.71
BRINJALS,2009-03-09,15.16,51.82
CABBAGE,2009-03-09,20.85,62.42
CARROT,2009-03-09,38.25,76.42
LEEKS,2009-03-09,50.25,86.97
PUMPKIN,2009-03-09,36.28,71.52
SNAKE GOURD,2009-03-09,25.53,64.85
BRINJALS,2009-03-16,18.79,53.33
CABBAGE,2009-03-16,19.55,64.25
CARROT,2009-03-16,38.5,77.94
LEEKS,2009-03-16,52.11,84.44
PUMPKIN,2009-03-16,31.56,63.57
SNAKE GOURD,2009-03-16,27.24,66.63
BRINJALS,2009-03-23,20.72,56.25
CABBAGE,2009-03-23,19.1,58.29
CARROT,2009-03-23,41.25,74.78
LEEKS,2009-03-23,53.33,84.57
PUMPKIN,2009-03-23,28.71,59.14
SNAKE GOURD,2009-03-23,24.41,65.0
BRINJALS,2009-03-30,36.18,71.53
CABBAGE,2009-03-30,18.0,63.43
CARROT,2009-03-30,46.25,81.67
LEEKS,2009-03-30,49.75,88.06
PUMPKIN,2009-03-30,24.2,60.28
SNAKE GOURD,2009-03-30,29.89,68.06
BRINJALS,2009-04-06,47.0,84.73
CABBAGE,2009-04-06,19.0,66.81
CARROT,2009-04-06,58.0,94.32
LEEKS,2009-04-06,60.0,99.05
PUMPKIN,2009-04-06,23.75,60.14
SNAKE GOURD,2009-04-06,34.0,72.57
BRINJALS,2009-04-13,26.79,65.28
CABBAGE,2009-04-13,21.0,61.67
CARROT,2009-04-13,56.32,83.06
LEEKS,2009-04-13,51.17,87.22
PUMPKIN,2009-04-13,27.33,60.29
SNAKE GOURD,2009-04-13,24.41,64.29
BRINJALS,2009-04-20,21.87,64.56
CABBAGE,2009-04-20,21.2,64.32
CARROT,2009-04-20,53.33,92.08
LEEKS,2009-04-20,51.43,94.58
PUMPKIN,2009-04-20,21.14,53.71
SNAKE GOURD,2009-04-20,26.0,64.05
BRINJALS,2009-04-27,35.71,78.06
CABBAGE,2009-04-27,30.0,68.69
CARROT,2009-04-27,67.86,105.28
LEEKS,2009-04-27,55.0,91.94
PUMPKIN,2009-04-27,18.46,52.29
SNAKE GOURD,2009-04-27,26.67,67.43
BRINJALS,2009-05-04,28.3,74.72
CABBAGE,2009-05-04,34.58,72.92
CARROT,2009-05-04,75.35,113.72
LEEKS,2009-05-04,53.08,105.0
PUMPKIN,2009-05-04,19.29,54.72
SNAKE GOURD,2009-05-04,27.08,65.97
BRINJALS,2009-05-11,23.2,73.14
CABBAGE,2009-05-11,26.64,72.68
CARROT,2009-05-11,69.33,106.18
LEEKS,2009-05-11,45.33,92.78
PUMPKIN,2009-05-11,19.86,55.69
SNAKE GOURD,2009-05-11,28.85,66.94
BRINJALS,2009-05-18,23.33,67.14
CABBAGE,2009-05-18,30.3,77.14
CARROT,2009-05-18,80.0,121.82
LEEKS,2009-05-18,57.0,99.37
PUMPKIN,2009-05-18,22.0,53.13
SNAKE GOURD,2009-05-18,28.13,67.19
BRINJALS,2009-05-25,36.67,79.84
CABBAGE,2009-05-25,32.0,75.68
CARROT,2009-05-25,85.56,123.78
LEEKS,2009-05-25,50.0,98.38
PUMPKIN,2009-05-25,31.88,60.14
SNAKE GOURD,2009-05-25,32.61,70.0
BRINJALS,2009-06-01,44.5,85.28
CABBAGE,2009-06-01,33.0,74.72
CARROT,2009-06-01,106.0,145.0
LEEKS,2009-06-01,47.22,96.11
PUMPKIN,2009-06-01,25.5,59.86
SNAKE GOURD,2009-06-01,33.13,74.14
BRINJALS,2009-06-08,46.93,87.22
CABBAGE,2009-06-08,41.16,79.72
CARROT,2009-06-08,99.33,144.44
LEEKS,2009-06-08,43.33,89.72
PUMPKIN,2009-06-08,30.18,62.92
SNAKE GOURD,2009-06-08,32.07,72.78
BRINJALS,2009-06-15,39.28,81.35
CABBAGE,2009-06-15,40.36,79.32
CARROT,2009-06-15,81.33,132.43
LEEKS,2009-06-15,43.33,84.46
PUMPKIN,2009-06-15,30.42,63.51
SNAKE GOURD,2009-06-15,29.83,70.69
BRINJALS,2009-06-22,36.11,82.57
CABBAGE,2009-06-22,32.75,78.75
CARROT,2009-06-22,78.5,122.78
LEEKS,2009-06-22,35.75,83.33
PUMPKIN,2009-06-22,30.0,56.94
SNAKE GOURD,2009-06-22,27.95,66.81
BRINJALS,2009-06-29,27.75,73.18
CABBAGE,2009-06-29,32.5,77.33
CARROT,2009-06-29,65.0,106.36
LEEKS,2009-06-29,37.5,82.25
PUMPKIN,2009-06-29,26.15,58.37
SNAKE GOURD,2009-06-29,24.0,63.49
BRINJALS,2009-07-06,22.5,69.33
CABBAGE,2009-07-06,57.0,92.27
CARROT,2009-07-06,60.0,105.0
LEEKS,2009-07-06,33.0,79.56
PUMPKIN,2009-07-06,26.78,57.67
SNAKE GOURD,2009-07-06,23.33,64.78
BRINJALS,2009-07-13,15.29,59.88
CABBAGE,2009-07-13,48.67,84.44
CARROT,2009-07-13,66.11,105.11
LEEKS,2009-07-13,28.33,72.39
PUMPKIN,2009-07-13,22.93,56.14
SNAKE GOURD,2009-07-13,23.0,61.98
BRINJALS,2009-07-20,14.91,60.18
CABBAGE,2009-07-20,52.92,93.18
CARROT,2009-07-20,73.18,118.22
LEEKS,2009-07-20,28.5,72.56
PUMPKIN,2009-07-20,19.22,55.56
SNAKE GOURD,2009-07-20,25.0,64.0
BRINJALS,2009-07-27,13.2,58.44
CABBAGE,2009-07-27,49.33,90.0
CARROT,2009-07-27,67.36,97.72
LEEKS,2009-07-27,32.67,67.76
PUMPKIN,2009-07-27,14.13,48.62
SNAKE GOURD,2009-07-27,25.33,63.11
BRINJALS,2009-08-03,17.07,60.89
CABBAGE,2009-08-03,51.33,88.67
CARROT,2009-08-03,60.33,100.38
LEEKS,2009-08-03,26.33,75.56
PUMPKIN,2009-08-03,13.13,47.96
SNAKE GOURD,2009-08-03,22.67,63.0
BRINJALS,2009-08-10,25.67,64.32
CABBAGE,2009-08-10,40.33,81.85
CARROT,2009-08-10,63.13,93.36
LEEKS,2009-08-10,30.33,67.11
PUMPKIN,2009-08-10,11.33,43.67
SNAKE GOURD,2009-08-10,20.87,59.46
BRINJALS,2009-08-17,30.5,71.0
CABBAGE,2009-08-17,33.5,79.11
CARROT,2009-08-17,51.5,96.51
LEEKS,2009-08-17,20.5,66.89
PUMPKIN,2009-08-17,10.6,46.78
SNAKE GOURD,2009-08-17,16.3,62.11
BRINJALS,2009-08-24,31.5,68.78
CABBAGE,2009-08-24,30.0,73.67
CARROT,2009-08-24,48.5,91.24
LEEKS,2009-08-24,22.0,61.82
PUMPKIN,2009-08-24,9.0,40.76
SNAKE GOURD,2009-08-24,17.6,53.89
